row_number,customer_name,customer_id,customer_area,customer_location,demand_month,po_number,ordered_sku_code,ordered_sku_name,ordered_sku_type,etd,ordered_treat_status,order_notes,order_size,order_unit_before,translation_unit,size_convertion,order_unit_after,qty_order_lb,qty_order_kg,demand_additional_notes,raw_material_size,supply_unit,total_rm_kg,supply_notes
88,King Frozen Indonesia,,Marketplace,,September,,,,P&D - Raw,,,BPOM & Halal,51 - 60,(PCs/Kg),P&D - Raw (PCs/Kg),51 - 60,,,20.0,, 26 - 31 ,(PCs/Kg),38.0,
89,Yura Frozen,,Marketplace,,September,,,,PDTO - Raw,,,BPOM & Halal,51 - 60,(PCs/Kg),PDTO - Raw (PCs/Kg),51 - 60,,,30.0,, 28 - 33 ,(PCs/Kg),55.0,
90,Rumah Beku ,,Marketplace,,September,,,,HOSO - Raw,,,BPOM & Halal,51 - 60,(PCs/Kg),HOSO - Raw (PCs/Kg),51 - 60,,,50.0,, 50 - 59 ,(PCs/Kg),51.0,
91,Rajawalli Sosis Baso,,Marketplace,,September,,,,HOSO - Raw,,,BPOM & Halal,51 - 60,(PCs/Kg),HOSO - Raw (PCs/Kg),51 - 60,,,100.0,, 50 - 59 ,(PCs/Kg),102.0,
92,Rajawalli Sosis Baso,,Marketplace,,September,,,,PDTO - Raw,,,BPOM & Halal,51 - 60,(PCs/Kg),PDTO - Raw (PCs/Kg),51 - 60,,,100.0,, 28 - 33 ,(PCs/Kg),182.0,
93,Rajawalli Sosis Baso,,Marketplace,,September,,,,P&D - Raw,,,BPOM & Halal,51 - 60,(PCs/Kg),P&D - Raw (PCs/Kg),51 - 60,,,100.0,, 26 - 31 ,(PCs/Kg),192.0,
94,,,Marketplace,,October,,,Fresh ,HOSO - Raw,,,,41 - 50,(PCs/Kg),HOSO - Raw (PCs/Kg),41 - 50,,,3750.0,, 40 - 49 ,(PCs/Kg),3827.0,
95,,,Marketplace,,October,,,Fresh ,HOSO - Raw,,,,51 - 60,(PCs/Kg),HOSO - Raw (PCs/Kg),51 - 60,,,2500.0,, 50 - 59 ,(PCs/Kg),2551.0,
96,,,Marketplace,,October,,,Fresh ,HOSO - Raw,,,,61 - 70,(PCs/Kg),HOSO - Raw (PCs/Kg),61 - 70,,,9188.0,, 59 - 68 ,(PCs/Kg),9376.0,
97,,,Marketplace,,October,,,Fresh ,HOSO - Raw,,,,91-120,(PCs/Kg),HOSO - Raw (PCs/Kg),91-120,,,6375.0,, 89 - 117 ,(PCs/Kg),6505.0,
98,,,Marketplace,,October,,,Frozen Broken ,PDTO - Raw,,,"BPOM, Halal",Any Kind,(PCs/Kg),PDTO - Raw (PCs/Kg),Any Kind,,,16555.0,,#N/A,(PCs/Kg),30100.0,
99,,,Marketplace,,October,,,,HOSO - Raw,,,Halal,51 - 60,(PCs/Kg),HOSO - Raw (PCs/Kg),51 - 60,,,910.0,, 50 - 59 ,(PCs/Kg),929.0,
100,,,Marketplace,,October,,,,P&D - Cooked,,,"BPOM, Halal",21 - 30,(PCs/Kg),P&D - Cooked (PCs/Kg),21 - 30,,,1100.0,, 9 - 13  ,(PCs/Kg),2489.0,
101,,,Marketplace,,October,,,,P&D - Raw,,,"SKP, Halal",31 - 40,(PCs/Kg),P&D - Raw (PCs/Kg),31 - 40,,,44.0,, 16 - 21 ,(PCs/Kg),85.0,
