row_number_demand,po_number,demand_month,customer_name,customer_id,customer_area,customer_location,etd,etd_type,ordered_sku_code,ordered_sku_name,ordered_sku_type,raw_material_size,total_rm_kg,order_notes
146,,,,,,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
147,,,,,,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
148,,,,,,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
149,,,,,,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
150,,,,,,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
151,,,,,,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
152,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
153,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
154,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
155,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
156,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
157,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
158,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
159,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
160,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
161,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
162,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
163,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
164,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
165,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
166,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
167,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
168,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
169,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
170,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
171,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
172,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
173,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
174,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
175,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
176,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
177,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
178,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
179,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
180,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
181,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
182,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
183,,,,,Marketplace,,2023-10-16T14:39:08.703508+07:00,estimated,,,,,,
